SIGLA,DISCIPLINA,TPEI,CURSOS,,,,,,,,,,,,,,,,RECOMENDACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZD002-18,EDUCACAO ESTATISTICA,2-2-0-4,LM - LICENCIATURA EM MATEMATICA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ5020-15,EDUCACAO INCLUSIVA,2-0-0-2,LFIS - LICENCIATURA EM FISICA (OL),LQ - LICENCIATURA EM QUIMICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0010-19,"EDUCACAO NAO FORMAL, INFORMAL E POPULAR",2-2-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3003-15,EFEITOS BIOLOGICOS DAS RADIACOES,4-0-0-4,BFIS - BACHARELADO EM FISICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,BIOFISICA,INTERACOES DA RADIACAO COM A MATERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG038-17,EFICIENCIA ENERGETICA INDUSTRIAL,4-0-0-4,EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZC019-21,ELABORACAO E ANALISE DE CENARIOS ECONOMICOS,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,,,INTRODUCAO A ECONOMIA,MACROECONOMIA I,MACROECONOMIA II,MACROECONOMIA III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTG004-17,"ELABORACAO, ANALISE E AVALIACAO DE PROJETOS",2-2-0-5,EGES - ENGENHARIA DE GESTAO (OBR),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,GESTAO DE OPERACOES,DESENVOLVIMENTO INTEGRADO DO PRODUTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB007-13,ELEMENTOS FINITOS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM007-17,ELEMENTOS FINITOS APLICADOS EM MATERIAIS,3-1-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,TOPICOS COMPUTACIONAIS EM MATERIAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE110-17,ELETRIFICACAO RURAL COM RECURSOS ENERGETICOS RENOVAVEIS,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,BASES CONCEITUAIS DA ENERGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4005-15,ELETROANALITICA E TECNICAS DE SEPARACAO,2-4-0-8,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),,,,,,,,,,,,,,,QUIMICA ANALITICA CLASSICA I,QUIMICA ANALITICA CLASSICA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTA018-17,ELETROMAGNETISMO APLICADO,4-0-0-5,EBIO - ENGENHARIA BIOMEDICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,,FENOMENOS ELETROMAGNETICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3070-15,ELETROMAGNETISMO I,4-0-0-4,BFIS - BACHARELADO EM FISICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,FENOMENOS ELETROMAGNETICOS,CALCULO VETORIAL E TENSORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3071-15,ELETROMAGNETISMO II,4-0-0-4,BFIS - BACHARELADO EM FISICA (OBR),,,,,,,,,,,,,,,,ELETROMAGNETISMO I,CALCULO VETORIAL E TENSORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3076-15,ELETROMAGNETISMO III,4-0-0-4,BFIS - BACHARELADO EM FISICA (OL),,,,,,,,,,,,,,,,ELETROMAGNETISMO II,CALCULO VETORIAL E TENSORIAL,ANALISE DE FOURIER E APLICACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTA007-17,ELETRONICA ANALOGICA APLICADA,3-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),EINF - ENGENHARIA DE INFORMACAO (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,DISPOSITIVOS ELETRONICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZA011-17,ELETRONICA DE POTENCIA I,3-2-0-4,EENE - ENGENHARIA DE ENERGIA (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",,,,,,,,,,,,,,,CIRCUITOS ELETRICOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZA012-17,ELETRONICA DE POTENCIA II,3-2-0-4,EENE - ENGENHARIA DE ENERGIA (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",,,,,,,,,,,,,,,ELETRONICA DE POTENCIA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTI002-17,ELETRONICA DIGITAL,4-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),EAER - ENGENHARIA AEROESPACIAL (OL),EINF - ENGENHARIA DE INFORMACAO (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,CIRCUITOS ELETRICOS E FOTONICA OU CIRCUITOS ELETRICOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4006-15,ELETROQUIMICA E CINETICA QUIMICA,6-0-0-6,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),,,,,,,,,,,,,,,TRANSFORMACOES QUIMICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG013-17,EMPREENDEDORISMO,2-2-0-4,BQ - BACHARELADO EM QUIMICA (OL),EGES - ENGENHARIA DE GESTAO (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA007-13,EMPREENDEDORISMO E DESENVOLVIMENTO DE NEGOCIOS,4-0-0-4,BN - BACHARELADO EM NEUROCIENCIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ6012-18,EMPREENDEDORISMO E PLANEJAMENTO DE PROJETOS EM BIOTECNOLOGIA,4-0-0-4,BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,INTRODUCAO A BIOTECNOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE105-17,ENERGIA DOS OCEANOS,4-0-0-2,EENE - ENGENHARIA DE ENERGIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,BASES CONCEITUAIS DA ENERGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZT003-17,ENERGIA E ABASTECIMENTO,4-0-0-4,BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ5005-09,ENERGIA E MEIO AMBIENTE,2-1-0-3,LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE104-17,ENERGIA GEOTERMICA,2-0-0-2,EENE - ENGENHARIA DE ENERGIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,BASES CONCEITUAIS DA ENERGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE004-17,"ENERGIA, MEIO AMBIENTE E SOCIEDADE",4-0-0-5,BQ - BACHARELADO EM QUIMICA (OL),EENE - ENGENHARIA DE ENERGIA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,BASES CONCEITUAIS DA ENERGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE034-17,ENGENHARIA DE BIOCOMBUSTIVEIS,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),BBT - BACHARELADO EM BIOTECNOLOGIA (OL),,,,,,,,,,,,,,,TERMODINAMICA APLICADA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM038-17,ENGENHARIA DE CERAMICAS,2-2-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS CERAMICOS,CIENCIA DOS MATERIAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE029-17,ENGENHARIA DE COMBUSTIVEIS FOSSEIS,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,BASES CONCEITUAIS DA ENERGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE058-17,ENGENHARIA DE COMPLETACAO,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,ENGENHARIA DE PETROLEO E GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM029-17,ENGENHARIA DE FILMES FINOS,3-1-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,CIENCIA DOS MATERIAIS,REOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM024-17,ENGENHARIA DE METAIS,3-1-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS METALICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE059-17,ENGENHARIA DE PERFURACAO,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,ENGENHARIA DE PETROLEO E GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE030-17,ENGENHARIA DE PETROLEO E GAS,4-0-0-4,BQ - BACHARELADO EM QUIMICA (OL),EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,ENGENHARIA DE COMBUSTIVEIS FOSSEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM014-17,ENGENHARIA DE POLIMEROS,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS POLIMERICOS,REOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB027-17,ENGENHARIA DE REABILITACAO E BIOFEEDBACK,3-1-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),,,,,,,,,,,,,,,,BIOMECANICA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE031-17,ENGENHARIA DE RECURSOS HIDRICOS,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,MAQUINAS ELETRICAS,MECANICA DOS FLUIDOS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE060-17,ENGENHARIA DE RESERVATORIOS I,0-4-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,MECANICA DOS FLUIDOS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE061-17,ENGENHARIA DE RESERVATORIOS II,0-4-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,ENGENHARIA DE RESERVATORIOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI026-17,ENGENHARIA DE SISTEMAS DE COMUNICACAO E MISSAO CRITICA,2-2-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),,,,,,,,,,,,,,,,PROGRAMACAO ESTRUTURADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA033-15,ENGENHARIA DE SOFTWARE,4-0-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),,,,,,,,,,,,,,PROCESSAMENTO DA INFORMACAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB006-17,ENGENHARIA DE TECIDOS,3-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,,,CIENCIA DOS MATERIAIS BIOCOMPATIVEIS,BIOLOGIA CELULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE093-17,ENGENHARIA DO BIODIESEL,4-0-0-4,BQ - BACHARELADO EM QUIMICA (OL),EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,ENGENHARIA DE BIOCOMBUSTIVEIS,TRANSFERENCIA DE CALOR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE094-17,ENGENHARIA DO ETANOL,4-0-0-4,BQ - BACHARELADO EM QUIMICA (OL),EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,ENGENHARIA DE BIOCOMBUSTIVEIS,TRANSFERENCIA DE CALOR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO013-17,ENGENHARIA ECONOMICA,4-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OBR),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (OBR),EGES - ENGENHARIA DE GESTAO (OBR),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",EINF - ENGENHARIA DE INFORMACAO (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,FUNCOES DE UMA VARIAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTG005-17,ENGENHARIA ECONOMICA APLICADA A SISTEMAS DE GESTAO,4-0-0-5,EGES - ENGENHARIA DE GESTAO (OBR),,,,,,,,,,,,,,,,CUSTOS,ENGENHARIA ECONOMICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE035-17,ENGENHARIA EOLICA,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,MAQUINAS ELETRICAS,MECANICA DOS FLUIDOS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG031-17,ENGENHARIA HUMANA,4-0-0-5,EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,,ENGENHARIA LABORAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTG006-17,ENGENHARIA LABORAL,4-0-0-4,BQ - BACHARELADO EM QUIMICA (OL),EGES - ENGENHARIA DE GESTAO (OBR),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTG007-17,ENGENHARIA LOGISTICA,2-2-0-4,EGES - ENGENHARIA DE GESTAO (OBR),,,,,,,,,,,,,,,,PLANEJAMENTO E CONTROLE DA PRODUCAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ6008-18,ENGENHARIA METABOLICA,2-2-0-4,BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),,,,,,,,,,,,,,,,BIOLOGIA MOLECULAR E BIOTECNOLOGIA,"BIOQUIMICA: ESTRUTURA, PROPRIEDADES E FUNCOES DE BIOMOLECULAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE028-17,ENGENHARIA NUCLEAR,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,FISICA QUANTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZA018-17,ENGENHARIA OPTICA E IMAGENS,3-1-0-4,"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",,,,,,,,,,,,,,,,FENOMENOS ELETROMAGNETICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE033-17,ENGENHARIA SOLAR FOTOVOLTAICA,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,CIRCUITOS ELETRICOS I,CIRCUITOS ELETRICOS II,INSTALACOES ELETRICAS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE032-17,ENGENHARIA SOLAR TERMICA,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,TRANSFERENCIA DE CALOR I,TRANSFERENCIA DE CALOR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO902-17,ENGENHARIA UNIFICADA I,0-2-0-5,EAER - ENGENHARIA AEROESPACIAL (OBR),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (OL),EGES - ENGENHARIA DE GESTAO (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",EINF - ENGENHARIA DE INFORMACAO (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO903-17,ENGENHARIA UNIFICADA II,0-2-0-5,EAER - ENGENHARIA AEROESPACIAL (OBR),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (OL),EGES - ENGENHARIA DE GESTAO (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",EINF - ENGENHARIA DE INFORMACAO (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,ENGENHARIA UNIFICADA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0040-22,ENSINO DE HISTORIA DA AFRICA,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0011-19,ENSINO INTERDISCIPLINAR DE HISTORIA,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZP018-13,ENSINO SUPERIOR NO BRASIL: TRAJETORIAS E MODELOS INSTITUCIONAIS,4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (L),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LQ - LICENCIATURA EM QUIMICA (OL),,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ6004-18,ENZIMOLOGIA E BIOCATALISE,4-2-0-4,BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,BIOLOGIA MOLECULAR E BIOTECNOLOGIA,BIOLOGIA CELULAR,GENETICA II,"BIOQUIMICA: ESTRUTURA, PROPRIEDADES E FUNCOES DEBIOMOLECULAS",FARMACOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2107-18,EPISTEMOLOGIA ANALITICA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,LOGICA BASICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2112-18,EPISTEMOLOGIA FEMINISTA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2115-18,EPISTEMOLOGIA NATURALIZADA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,,EPISTEMOLOGIA ANALITICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2127-18,EPISTEMOLOGIAS DO SUL: FILOSOFIAS AMERINDIAS,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,FILOSOFIA NO BRASIL E NA AMERICA LATINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2110-18,EPISTEMOLOGIAS FORMAIS,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,,EPISTEMOLOGIA CONTEMPORANEA,LOGICA BASICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB011-17,EQUACOES DIFERENCIAIS ORDINARIAS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),,,,,,,,,,,,,,,,ALGEBRA LINEAR AVANCADA I,ANALISE NO RN I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB012-13,EQUACOES DIFERENCIAIS PARCIAIS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),,,,,,,,,,,,,,,,ANALISE REAL I,CALCULO VETORIAL E TENSORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3078-15,EQUACOES DIFERENCIAIS PARCIAIS APLICADAS,4-0-0-4,BFIS - BACHARELADO EM FISICA (OL),BM - BACHARELADO EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,CALCULO VETORIAL E TENSORIAL,VARIAVEIS COMPLEXAS E APLICACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB028-17,EQUIPAMENTOS MEDICO-HOSPITALARES,2-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,BASES BIOLOGICAS PARA ENGENHARIA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB013-17,ERGONOMIA,4-0-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),,,,,,,,,,,,,,,,BASES BIOLOGICAS PARA ENGENHARIA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
