SIGLA,DISCIPLINA,TPEI,CURSOS,,,,,,,,,,,,,,,,RECOMENDACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA001-17,ALGORITMOS E ESTRUTURAS DE DADOS I,2-2-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,PROGRAMACAO ESTRUTURADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA002-17,ALGORITMOS E ESTRUTURAS DE DADOS II,2-2-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),,,,,,,,,,,,,,ALGORITMOS E ESTRUTURAS DE DADOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA035-17,ALGORITMOS PROBABILISTICOS,4-0-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,ALGORITMOS E ESTRUTURAS DE DADOS II,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZR003-21,AMERICA LATINA CONTEMPORANEA,4-0-0-4,BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0002-19,AMERICA PORTUGUESA,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB001-13,ANALISE COMPLEXA,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,,FUNCOES DE VARIAVEL COMPLEXA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZT001-17,ANALISE DA PRODUCAO DO ESPACO E POLITICAS PUBLICAS URBANAS,4-0-0-4,BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA003-17,ANALISE DE ALGORITMOS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),,,,,,,,,,,,,,MATEMATICA DISCRETA,ALGORITMOS E ESTRUTURAS DE DADOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA036-17,ANALISE DE ALGORITMOS II,4-0-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,ANALISE DE ALGORITMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHT011-21,ANALISE DE DADOS PARA O PLANEJAMENTO TERRITORIAL,2-2-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OBR),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,CARTOGRAFIA E GEOPROCESSAMENTO PARA O PLANEJAMENTO TERRITORIAL,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3067-15,ANALISE DE FOURIER E APLICACOES,4-0-0-4,BFIS - BACHARELADO EM FISICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,FUNCOES DE VARIAS VARIAVEIS,VARIAVEIS COMPLEXAS E APLICACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHR029-21,ANALISE DE POLITICA EXTERNA,4-0-0-4,BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OBR),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA001-13,ANALISE DE PROJETOS,2-0-0-2,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG001-17,ANALISE DE REDES DE TRANSPORTE E DISTRIBUICAO,2-2-0-5,EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,,PESQUISA OPERACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB002-13,ANALISE DE REGRESSAO,3-1-0-4,BM - BACHARELADO EM MATEMATICA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,ALGEBRA LINEAR,INTRODUCAO A INFERENCIA ESTATISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZC001-21,ANALISE DE SERIES TEMPORAIS - TOPICOS ESPECIAIS,2-2-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,,,BASES MATEMATICAS,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,ECONOMIA MATEMATICA,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,INTRODUCAO A INFERENCIA ESTATISTICA,ECONOMETRIA I,ECONOMETRIA II,ECONOMETRIA III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTA005-17,ANALISE DE SISTEMAS DINAMICOS LINEARES,3-0-0-4,"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,,,,MODELAGEM E CONTROLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTU024-17,ANALISE DE SISTEMAS E MODELAGEM AMBIENTAL,1-2-0-4,EGES - ENGENHARIA DE GESTAO (OL),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),,,,,,,,,,,,,,,RECOMENDADA PARA O FINAL DO CURSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZU027-17,ANALISE E CONCEPCAO ESTRUTURAL PARA A ENGENHARIA,2-2-0-4,EAU - ENGENHARIA AMBIENTAL E URBANA (OL),,,,,,,,,,,,,,,,RECOMENDADA PARA O FINAL DO CURSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB029-17,ANALISE E CONTROLE DE SISTEMAS MECANICOS,2-2-0-5,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,MODELAGEM DE SISTEMAS DINAMICOS I,MODELAGEM DE SISTEMAS DINAMICOS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZC018-17,ANALISE ECONOMICA DE PROJETOS,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,,BASES MATEMATICAS,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,CONTABILIDADE BASICA,INTRODUCAO A INFERENCIA ESTATISTICA,ENGENHARIA ECONOMICA,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,FINANCAS CORPORATIVAS,MICROECONOMIA I,MACROECONOMIA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE037-17,ANALISE ECONOMICA DE PROJETOS ENERGETICOS,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,ENGENHARIA ECONOMICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE075-17,ANALISE ESTATICA EM SISTEMAS ELETRICOS DE POTENCIA,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,INTRODUCAO AOS SISTEMAS ELETRICOS DE POTENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS016-17,ANALISE EXPERIMENTAL DE ESTRUTURAS,1-3-0-3,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,MECANICA DOS SOLIDOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
